ticker,name,land
0001.HK,CK Hutchison Holdings Limited,Hongkong
0002.HK,CLP Holdings Limited,Hongkong
0003.HK,Hong Kong and China Gas Company Limited,Hongkong
0005.HK,HSBC Holdings plc,Hongkong
0006.HK,Power Assets Holdings Limited,Hongkong
0012.HK,Henderson Land Development Company Limited,Hongkong
0016.HK,Sun Hung Kai Properties Limited,Hongkong
0027.HK,Galaxy Entertainment Group Ltd.,Hongkong
0066.HK,MTR Corporation Ltd,Hongkong
0101.HK,Hang Lung Properties Limited,Hongkong
0175.HK,Geely Auto,Hongkong
0241.HK,Alibaba Health,Hongkong
0267.HK,CITIC Limited,Hongkong
0285.HK,BYD Electronics,Hongkong
0288.HK,WH Group,Hongkong
0291.HK,China Resources Beer,Hongkong
0300.HK,Midea Group,Hongkong
0316.HK,Orient Overseas (International) Limited,Hongkong
0322.HK,Tingyi,Hongkong
0386.HK,Sinopec Corp,Hongkong
0388.HK,HKEx Limited,Hongkong
0669.HK,Techtronic Industries,Hongkong
0688.HK,China Overseas Land & Investment Limited,Hongkong
0700.HK,Tencent Holdings Limited,Hongkong
0762.HK,China Unicom,Hongkong
0823.HK,Link REIT,Hongkong
0836.HK,China Resources Power,Hongkong
0857.HK,PetroChina Company Limited,Hongkong
0868.HK,Xinyi Glass,Hongkong
0881.HK,Zhongsheng Group,Hongkong
0883.HK,CNOOC Limited,Hongkong
0939.HK,China Construction Bank,Hongkong
0941.HK,China Mobile Ltd,Hongkong
0960.HK,Longfor Properties,Hongkong
0968.HK,Xinyi Solar,Hongkong
0981.HK,Semiconductor Manufacturing International Corporation,Hongkong
0992.HK,Lenovo,Hongkong
1000.T,1000,Japan
1024.HK,Kuaishou,Hongkong
1038.HK,Cheung Kong Infrastructure Holdings Limited,Hongkong
1044.HK,Hengan International Group Co. Ltd,Hongkong
1088.HK,China Shenhua Energy,Hongkong
1093.HK,CSPC Pharmaceutical Group,Hongkong
1099.HK,Sinopharm Group,Hongkong
1109.HK,China Resources Land Limited,Hongkong
1113.HK,CK Asset Holdings,Hongkong
1177.HK,Sino Biopharm,Hongkong
1209.HK,China Resources Mixc Lifestyle,Hongkong
1211.HK,BYD Company,Hongkong
1299.HK,AIA Group Limited,Hongkong
1332.T,1332,Japan
1378.HK,China Hongqiao Group,Hongkong
1398.HK,Industrial and Commercial Bank of China,Hongkong
1605.T,1605,Japan
1721.T,1721,Japan
1801.T,1801,Japan
1802.T,1802,Japan
1803.T,1803,Japan
1808.T,1808,Japan
1810.HK,Xiaomi,Hongkong
1812.T,1812,Japan
1876.HK,Budweiser Brewing Company APAC,Hongkong
1914.T,1914,Japan
1915.T,1915,Japan
1916.T,1916,Japan
1917.T,1917,Japan
1918.T,1918,Japan
1919.T,1919,Japan
1920.T,1920,Japan
1921.T,1921,Japan
1922.T,1922,Japan
1923.T,1923,Japan
1924.T,1924,Japan
1925.T,1925,Japan
1926.T,1926,Japan
1927.T,1927,Japan
1928.HK,Sands China,Hongkong
1928.T,1928,Japan
1929.HK,Chow Tai Fook,Hongkong
1929.T,1929,Japan
1930.T,1930,Japan
1931.T,1931,Japan
1932.T,1932,Japan
1933.T,1933,Japan
1934.T,1934,Japan
1935.T,1935,Japan
1936.T,1936,Japan
1937.T,1937,Japan
1938.T,1938,Japan
1939.T,1939,Japan
1940.T,1940,Japan
1941.T,1941,Japan
1942.T,1942,Japan
1943.T,1943,Japan
1944.T,1944,Japan
1945.T,1945,Japan
1946.T,1946,Japan
1947.T,1947,Japan
1948.T,1948,Japan
1949.T,1949,Japan
1950.T,1950,Japan
1951.T,1951,Japan
1952.T,1952,Japan
1953.T,1953,Japan
1954.T,1954,Japan
1955.T,1955,Japan
1956.T,1956,Japan
1957.T,1957,Japan
1958.T,1958,Japan
1959.T,1959,Japan
1960.T,1960,Japan
1961.T,1961,Japan
1962.T,1962,Japan
1963.T,1963,Japan
1964.T,1964,Japan
1965.T,1965,Japan
1966.T,1966,Japan
1967.T,1967,Japan
1968.T,1968,Japan
1969.T,1969,Japan
1970.T,1970,Japan
1971.T,1971,Japan
1972.T,1972,Japan
1973.T,1973,Japan
1974.T,1974,Japan
1975.T,1975,Japan
1976.T,1976,Japan
1977.T,1977,Japan
1978.T,1978,Japan
1979.T,1979,Japan
1980.KS,1980,Suedkorea
1980.T,1980,Japan
1981.KS,1981,Suedkorea
1981.T,1981,Japan
1982.KS,1982,Suedkorea
1982.T,1982,Japan
1983.KS,1983,Suedkorea
1983.T,1983,Japan
1984.KS,1984,Suedkorea
1984.T,1984,Japan
1985.KS,1985,Suedkorea
1985.T,1985,Japan
1986.KS,1986,Suedkorea
1986.T,1986,Japan
1987.KS,1987,Suedkorea
1987.T,1987,Japan
1988.KS,1988,Suedkorea
1988.T,1988,Japan
1989.KS,1989,Suedkorea
1989.T,1989,Japan
1990.KS,1990,Suedkorea
1990.T,1990,Japan
1991.KS,1991,Suedkorea
1991.T,1991,Japan
1992.KS,1992,Suedkorea
1992.T,1992,Japan
1993.KS,1993,Suedkorea
1993.T,1993,Japan
1994.KS,1994,Suedkorea
1994.T,1994,Japan
1995.KS,1995,Suedkorea
1995.T,1995,Japan
1996.KS,1996,Suedkorea
1996.T,1996,Japan
1997.HK,Wharf Real Estate Investment Company Limited,Hongkong
1997.KS,1997,Suedkorea
1997.T,1997,Japan
1998.KS,1998,Suedkorea
1998.T,1998,Japan
1999.KS,1999,Suedkorea
1999.T,1999,Japan
2000.KS,2000,Suedkorea
2000.T,2000,Japan
2001.KS,2001,Suedkorea
2001.T,2001,Japan
2002.KS,2002,Suedkorea
2002.T,2002,Japan
2003.KS,2003,Suedkorea
2003.T,2003,Japan
2004.KS,2004,Suedkorea
2004.T,2004,Japan
2005.KS,2005,Suedkorea
2005.T,2005,Japan
2006.KS,2006,Suedkorea
2006.T,2006,Japan
